Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Labrinth,10/4/2019,"2,185",30.6,666107710.0,"127,503","40,134,293",71.0,"234,005,957","3,231,466",1536372.0,"544,725,899","5,185,694,852","4,405,061",71.0,"1,195",23,27.0,"224,993",9.0,"3,326,824","15,554",,"4,161,911",0
Burna Boy,6/1/2023,"2,196",30.6,44751795.0,"23,415","3,622,192",55.0,"21,737,557","277,948",98682.0,"8,807,279","114,732,862","60,598,905",44.0,"113,508",855,11.0,"118,980",29.0,"6,837,176",740,,"343,757",1
Grupo Marca Registrada,5/27/2022,"2,195",30.6,285183501.0,"28,319","13,770,276",65.0,"322,857,747","1,566,688",60681.0,"10,855,957","125,822,489",,6.0,29,,2.0,"194,190",3.0,"26,370,349","3,167",,"411,987",0
Tory Lanez,2/7/2020,"2,186",30.6,407015049.0,"116,527","22,947,586",70.0,"44,157,454","665,741",20568.0,"9,087,023","59,673,227","13,257,357",30.0,"1,450",,32.0,"120,194",6.0,"3,729,253","8,435","46,033,727","712,141",1
Brett Young,1/1/2016,"2,198",30.6,560774282.0,"62,305","14,198,815",68.0,"861,165,099","4,288,539",397413.0,"18,838,824","216,533,242","545,706,587",38.0,"80,904",36,5.0,"8,037",45.0,"489,345,110","250,819","2,365,008","3,920,740",0
Bizarrap,3/22/2023,"2,191",30.6,146680564.0,"28,883","9,546,255",62.0,"154,916,805","3,043,720",820.0,"136,267","1,816,865","1,778,092",8.0,"8,273",14,13.0,"115,418",5.0,"904,756",,"590,512","199,628",0
Arcï¿½ï¿½,9/30/2016,"2,199",30.5,462055272.0,"54,302","17,847,539",71.0,"1,546,120,738","7,974,135",360400.0,"75,766,885","648,582,782","563,886,727",11.0,566,,7.0,"23,122",3.0,"52,143,549","25,408",,"1,569,987",1
Lil Tecca,8/18/2023,"2,201",30.5,114669893.0,"39,763","21,760,033",60.0,"7,212,572","84,826",16900.0,"3,459,451","25,286,791",,2.0,"2,043",10,3.0,"36,550",,"1,616,178",826,,"250,753",1
Kygo,2/16/2017,"2,205",30.5,1430439855.0,"150,179","55,438,878",71.0,"308,045,364","2,768,168",279393.0,"12,505,319","81,779,367","129,321,931",210.0,"91,638",217,110.0,"752,307",40.0,"252,544,876","97,039","1,855,783","13,603,866",0
Payal Dev,6/3/2021,"2,202",30.5,70622319.0,"4,554","1,202,197",57.0,"764,803,929","5,521,315",492.0,"4,395","27,723","1,955,607",3.0,35,,,,,396,,,"162,219",0
TWICE,10/26/2020,"2,200",30.5,384886220.0,"32,051","9,361,355",65.0,"681,682,229","7,966,863",243659.0,"94,368,004","666,762,692","63,358,966",31.0,"2,821",9,8.0,"56,015",7.0,"2,318,090","3,023","2,087,158","643,653",0
Post Malone,9/6/2019,"2,203",30.5,622690472.0,"108,263","18,637,177",69.0,"261,237,045","2,753,871",5525.0,"1,874,937","17,207,972","10,067,736",36.0,"11,662",2,10.0,"120,387",24.0,"262,889,554","96,599",,"2,184,126",0
B Praak,7/6/2021,"2,206",30.5,72348363.0,"6,300","1,979,759",57.0,"717,290,683","6,865,430",181300.0,"5,507,080","90,316,836","1,919,497",5.0,247,,,,2.0,"7,696",,,"209,262",0
Marc Anthony,7/23/2013,"2,210",30.4,618671056.0,"78,822","28,465,181",71.0,"1,398,550,208","4,470,299",722663.0,"24,693,560","302,300,755","263,879,004",112.0,119,253,46.0,"685,724",56.0,"381,672,102","384,522",,"4,858,889",0
Jason Derulo,11/19/2020,"2,212",30.4,286179073.0,"51,888","9,569,404",59.0,"239,078,390","1,790,062",465640.0,"46,773,428","444,068,106","225,346,751",99.0,"274,839",,28.0,"344,794",1.0,"2,735,151","2,045",,"4,522,347",0
Eminem,10/29/2002,"2,222",30.4,2194935773.0,"345,119","97,808,878",75.0,"1,360,758,976","9,892,246",69588.0,"1,476,678","20,114,190","339,086,425",252.0,"166,938",,127.0,"3,101,373",75.0,"804,134,471","703,535",,"10,419,522",1
Taylor Swift,12/10/2020,"2,217",30.4,844790027.0,"67,136","50,350,718",72.0,"189,534,686","2,729,881",65010.0,"20,896,955","212,587,391","139,953,667",167.0,"150,385",131,29.0,"412,109",77.0,"80,383,509","30,416",,"1,987,676",0
Joel Corry,8/13/2021,"2,218",30.4,509445605.0,"105,947","68,408,965",68.0,"21,324,881","168,696",2521.0,"849,518","16,050,371",,124.0,"105,328",307,72.0,"1,755,222",37.0,"5,977,100","1,482",,"3,151,561",0
Rauw Alejandro,6/25/2021,"2,215",30.4,596905923.0,"83,179","20,128,974",76.0,"132,634,826","1,011,336",803336.0,"177,757,652","1,408,309,850","12,050,206",72.0,"17,091",181,18.0,"238,540",25.0,"18,530,463","2,252",,"1,086,469",1
Drake,3/5/2021,"2,220",30.4,383261731.0,"94,964","21,697,781",62.0,"84,527,592","1,340,886",60864.0,"41,730,155","320,457,752","112,914,243",62.0,"40,515",377,27.0,"428,254",26.0,"55,798,346","49,620","14,432,922",,1
Fred again..,1/17/2022,"2,214",30.4,190872805.0,"102,679","49,713,000",61.0,"4,804,721","64,070",89852.0,"35,100,872","435,794,732",,44.0,"18,922",1,16.0,"491,915",26.0,"520,655",501,"6,101,751","1,617,989",0
Garry Sandhu,9/25/2017,"2,224",30.3,67999897.0,"12,496","2,290,221",57.0,"665,109,271","3,531,340",6938800.0,"41,338,088","594,821,828","34,439,336",12.0,744,,1.0,118,3.0,"2,142,970","1,187",,"335,509",0
Nicki Minaj,1/1/2012,"2,225",30.3,1125407888.0,"189,848","71,457,898",73.0,"565,850,053","3,904,912",356199.0,"37,119,709","275,858,975","177,791,254",149.0,"115,729",206,53.0,"984,604",28.0,"393,300,354","774,097",,"10,373,004",1
Grupo Firme,7/12/2022,"2,238",30.3,308915484.0,"18,763","9,876,263",54.0,"272,892,088","834,521",479753.0,"21,899,443","364,940,104",,6.0,"6,556",,1.0,"4,392",,,,"592,654","972,534",0
